"Currency exchanges","Fixed rate","http://www.ArtaBit.com","artaBit","2017-02-01"
"Financial","Futures","http://mpex.co/","MPEx","2017-02-01"
"Currency exchanges","Local/In-Hand Exchanges","http://localbitcoins.com/","Localbitcoins.com","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.oxbridgehouse.com/","Oxbridge House, Inc.","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.coinedbits.com","CoinedBits.com","2017-02-05"
"Currency exchanges","Real-time Trading","https://localbitcoins.com/","LocalBitcoins.com","2017-02-05"
"Currency exchanges","Fixed rate","https://blockchain.info/wallet/sms-phone-deposits","Blockchain","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitaurum.eu","BitAurum.eu","2017-02-05"
"Currency exchanges","Fixed rate","http://schendera.com/buy-bitcoins.html","Schendera.com","2017-02-05"
"Currency exchanges","Real-time Trading","https://moneypaktrader.com","MoneypakTrader.com","2017-02-01"
"Currency exchanges","Real-time Trading","https://bitcoin-central.net/","Bitcoin-Central","2017-02-01"
"Currency exchanges","Fixed rate","http://BitcoinsInBerlin.com","BitcoinsInBerlin.com","2017-02-05"
"Currency exchanges","Fixed rate","http://www.coinmarket.co.nz","Coin Market","2017-02-05"
"Currency exchanges","Fixed rate","https://www.koinmail.com/","KoinMail.com","2017-02-01"
"Currency exchanges","Fixed rate","http://bitXoin.com","bitXoin","2017-02-01"
"Currency exchanges","Fixed rate","https://www.wm-center.es/","WM-Center","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitcoinag.blogspot.ca/","BitcoinAg","2017-02-05"
"Currency exchanges","Fixed rate","http://www.ecurrencyzone.com/sell.php","ECurrencyZone","2017-02-05"
"Currency exchanges","Gift/Debit Cards","http://cash4coins.pw/","Cash4Coins","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://coinbase.com","Coinbase","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.alexchenko.net/","Alexchenko Silver Co.","2017-02-05"
